control_input	control_input.1	control_input.2	control_IP	control_IP.1	control_IP.2	treatment_input	treatment_input.1	treatment_input.2	treatment_IP	treatment_IP.1	treatment_IP.2
peak456	27	20	17	679	468	466	23	25	19	272	431	629
peak457	17	30	16	55	44	36	27	21	20	41	46	61
peak458	22	20	11	213	120	119	16	29	11	84	96	140
peak459	16	11	14	55	47	31	25	32	39	37	37	68
peak460	9	8	11	73	56	45	21	24	22	39	52	94
peak461	16	6	17	470	273	346	19	14	25	271	375	601
peak462	8	3	6	56	42	34	6	5	7	30	51	84
peak463	18	5	18	62	46	37	16	21	21	29	47	69
peak464	41	23	31	273	217	213	31	30	37	109	214	260
peak465	28	11	16	130	87	85	21	29	23	61	84	119
peak466	0	5	0	23	9	27	3	1	5	8	10	21
peak467	4	3	2	51	27	38	4	5	3	21	36	44
peak468	58	31	65	111	86	85	53	76	70	84	91	172
peak469	65	60	47	113	70	62	65	61	76	53	77	94
peak470	2	2	1	42	33	32	3	4	7	28	42	40
peak471	45	33	37	89	76	82	56	59	59	75	95	126
peak472	62	55	68	202	152	138	68	63	70	80	144	228
